rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-CC410390_ses-P3.long.sub-CC410390_template	1003.0	1059.0	2505.0	1946.0	347.0	3267.0	6283.0	3370.0	1165.0	4844.0	2917.0	3645.0	2202.0	3988.0	766.0	1857.0	1314.0	766.0	1476.0	1987.0	4634.0	1215.0	5137.0	4816.0	901.0	6895.0	9006.0	6033.0	4047.0	3765.0	337.0	532.0	355.0	2546.0	96926.7	1222231.0	1635277.216994
sub-CC420004_ses-P3.long.sub-CC420004_template	766.0	852.0	2544.0	1841.0	388.0	3166.0	3588.0	2757.0	743.0	5069.0	2766.0	3522.0	1903.0	2989.0	587.0	1384.0	1295.0	752.0	1189.0	2100.0	3542.0	916.0	4752.0	3832.0	629.0	4644.0	5701.0	5398.0	3493.0	3456.0	314.0	470.0	337.0	2194.0	79876.7	953564.0	1303876.817931
sub-CC420094_ses-P3.long.sub-CC420094_template	685.0	830.0	2199.0	1707.0	475.0	3562.0	4801.0	3815.0	1054.0	6030.0	2671.0	3522.0	1974.0	3107.0	563.0	1396.0	1176.0	919.0	1302.0	1611.0	3900.0	1313.0	5361.0	3516.0	552.0	5222.0	5721.0	4750.0	3162.0	3577.0	313.0	578.0	263.0	2771.0	84394.6	1101343.0	1471400.217465
sub-CC420149_ses-P3.long.sub-CC420149_template	1163.0	1149.0	3108.0	2188.0	612.0	4186.0	7053.0	4802.0	1411.0	7098.0	3181.0	4043.0	2486.0	5296.0	785.0	1677.0	1576.0	1099.0	1920.0	2014.0	4955.0	1877.0	6333.0	5561.0	839.0	7475.0	8639.0	7152.0	5116.0	5752.0	404.0	565.0	526.0	2830.0	114871.0	1427871.0	1867326.177884
sub-CC420157_ses-P3.long.sub-CC420157_template	1201.0	782.0	2053.0	1531.0	299.0	2917.0	5279.0	3014.0	871.0	4583.0	2659.0	2786.0	1879.0	3278.0	814.0	1460.0	1134.0	704.0	1225.0	1275.0	3870.0	1164.0	4701.0	3676.0	552.0	5169.0	6994.0	4936.0	3283.0	3617.0	306.0	441.0	282.0	2189.0	80921.7	997733.0	1390110.062535
sub-CC420173_ses-P3.long.sub-CC420173_template	994.0	641.0	2277.0	1531.0	562.0	2585.0	5435.0	3636.0	827.0	4293.0	2951.0	3293.0	2149.0	3608.0	574.0	1514.0	1529.0	805.0	1323.0	1463.0	3950.0	1187.0	5445.0	4492.0	583.0	6172.0	7073.0	6134.0	3812.0	4281.0	257.0	602.0	285.0	2154.0	88417.2	1154175.0	1574201.806813
sub-CC420198_ses-P3.long.sub-CC420198_template	974.0	966.0	2190.0	1845.0	453.0	3338.0	4963.0	3255.0	1021.0	6505.0	3096.0	4319.0	2458.0	3787.0	718.0	1846.0	1738.0	993.0	1739.0	1526.0	4578.0	1469.0	5852.0	4702.0	743.0	6757.0	7734.0	6849.0	4345.0	4691.0	302.0	634.0	440.0	2621.0	99444.7	1315771.0	1703322.685827
sub-CC420204_ses-P3.long.sub-CC420204_template	973.0	508.0	1525.0	1406.0	350.0	2695.0	5263.0	3186.0	731.0	4655.0	2799.0	2903.0	2144.0	3431.0	586.0	1180.0	1074.0	916.0	1515.0	1360.0	3781.0	991.0	4417.0	3270.0	488.0	5585.0	6154.0	5017.0	3712.0	3355.0	271.0	539.0	324.0	2134.0	79237.9	1042873.0	1226490.098852
sub-CC420241_ses-P3.long.sub-CC420241_template	1168.0	883.0	2708.0	2149.0	521.0	4271.0	8010.0	4495.0	886.0	6934.0	3351.0	4200.0	2423.0	5053.0	730.0	1952.0	1428.0	1210.0	1924.0	2050.0	4684.0	1044.0	6046.0	5058.0	812.0	8763.0	9491.0	6523.0	5269.0	4777.0	431.0	646.0	405.0	3180.0	113475.0	1423042.0	2084911.703136
sub-CC420286_ses-P3.long.sub-CC420286_template	994.0	745.0	2182.0	1763.0	366.0	2821.0	6456.0	3856.0	1006.0	5363.0	2838.0	3463.0	2407.0	3853.0	577.0	1870.0	1213.0	792.0	1623.0	2132.0	4690.0	1297.0	5110.0	4200.0	607.0	6555.0	8941.0	5928.0	4366.0	4579.0	376.0	472.0	358.0	2718.0	96518.0	1255384.0	1694867.013654
